,COMMA,SEMICOLON,LPAREN,RPAREN,LBRACE,RBRACE,LBRACKET,RBRACKET,COLON,EQ,PERIOD,PLUS,MINUS,MULT,DIV,LESS,GREATER,AND,LETTER,UNDERSCORE,NUMNOTZERO,ZERO,OR,WHITESPACE,OTHER
0,1,2,3,4,5,6,7,8,9,15,10,11,12,13,14,16,17,18,19,e,22,21,20,32,e
1,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
2,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
3,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
4,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
5,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
6,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
7,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
8,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
9,e,e,e,e,e,e,e,e,e,23,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
10,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
11,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
12,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
13,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
14,e,e,e,e,e,e,e,e,e,e,e,e,e,24,e,e,e,e,e,e,e,e,e,e,e
15,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
16,e,e,e,e,e,e,e,e,e,28,e,e,e,e,e,e,27,e,e,e,e,e,e,e,e
17,e,e,e,e,e,e,e,e,e,29,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
18,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
19,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,19,19,19,19,e,e,e
20,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
21,e,e,e,e,e,e,e,e,e,e,30,e,e,e,e,e,e,e,e,e,e,e,e,e,e
22,e,e,e,e,e,e,e,e,e,e,30,e,e,e,e,e,e,e,e,e,22,22,e,e,e
23,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24
25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,26,24,24,24,24,24,24,24,24,24,24
26,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
27,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
28,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
29,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
30,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,31,31,e,e,e
31,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,31,31,e,e,e
32,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,32,e
