,COMMA,COLON,SEMI,LPAREN,RPAREN,LBRACK,RBRACK,LBRACE,RBRACE,PERIOD,PLUS,MINUS,MULT,DIV,EQ,NEQ,LESSER,GREATER,LESSEREQ,GREATEREQ,AND,OR,ASSIGN,ARRAY,BREAK,DO,ELSE,FOR,FUNCTION,RETURN,IF,IN,LET,OF,THEN,TO,TYPE,VAR,INT,FLOAT,WHILE,ENDIF,BEGIN,END,ENDDO,ID,INTLIT,FLOATLIT,EOF
<TIGER_PROGRAM>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<DECLARATION_SEGMENT>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,2,E,E,2,E,E,E,E,2,2,E,E,E,E,E,E,E,E,E,E,E
<TYPE_DECLARATION_LIST>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,3,E,E,3,E,E,E,E,4,3,E,E,E,E,E,E,E,E,E,E,E
<VAR_DECLARATION_LIST>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,E,E,5,E,E,E,E,E,6,E,E,E,E,E,E,E,E,E,E,E
<FUNC_DECLARATION_LIST>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,8,E,E,7,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<TYPE_DECLARATION>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9,E,E,E,E,E,E,E,E,E,E,E,E
<TYPE>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,10,10,E,E,E,E,E,12,E,E,E
<TYPE_ID>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,13,14,E,E,E,E,E,E,E,E,E
<VAR_DECLARATION>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,15,E,E,E,E,E,E,E,E,E,E,E
<ID_LIST>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,16,E,E,E
<ID_LIST_TAIL>,17,18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<OPTIONAL_INIT>,E,E,20,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,19,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<FUNC_DECLARATION>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,21,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<PARAM_LIST>,E,E,E,E,23,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,22,E,E,E
<PARAM_LIST_TAIL>,24,E,E,E,25,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
<RET_TYPE>,E,26,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,27,E,E,E,E,E,E
<PARAM>,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,28,E,E,E
